"Unit","Time","PC","Value"
"1",0,"PC1",0
"1",0,"PC2",0
"1",1,"PC1",7.81746549178345
"1",1,"PC2",7.52756066642829
"1",2,"PC1",20.8101300403431
"1",2,"PC2",18.9054877741897
"1",3,"PC1",31.2472821420445
"1",3,"PC2",31.1800560065677
"1",4,"PC1",41.8769175885185
"1",4,"PC2",41.0143112992867
"1",5,"PC1",54.4536835381438
"1",5,"PC2",55.1804929920359
"1",6,"PC1",67.7251698620047
"1",6,"PC2",70.0042833949632
"1",7,"PC1",81.9523477266927
"1",7,"PC2",83.6911764098642
"1",8,"PC1",94.6326006903156
"1",8,"PC2",99.5880650104114
"1",9,"PC1",107.846798056838
"1",9,"PC2",112.612225941863
"1",10,"PC1",122.11572996445
"1",10,"PC2",125.618759513658
"1",11,"PC1",133.571868974677
"1",11,"PC2",138.352605876551
"1",12,"PC1",149.340557322303
"1",12,"PC2",151.964103389855
"1",13,"PC1",162.418645654032
"1",13,"PC2",168.623909245185
"1",14,"PC1",178.348772368959
"1",14,"PC2",183.788362355624
"1",15,"PC1",194.02147933029
"1",15,"PC2",196.602297820645
"1",16,"PC1",207.635295629907
"1",16,"PC2",213.632900456513
"1",17,"PC1",223.449766013934
"1",17,"PC2",228.955234983261
"1",18,"PC1",236.630856626834
"1",18,"PC2",245.94950678473
"1",19,"PC1",252.910152252013
"1",19,"PC2",260.247928896489
"1",20,"PC1",268.808769920318
"1",20,"PC2",280.304212235652
"2",0,"PC1",0
"2",0,"PC2",0
"2",1,"PC1",8.41621917024438
"2",1,"PC2",8.31250981794502
"2",2,"PC1",18.0782074709468
"2",2,"PC2",19.474940634804
"2",3,"PC1",28.0453434233068
"2",3,"PC2",32.7887258442411
"2",4,"PC1",38.4371216251577
"2",4,"PC2",45.809123630976
"2",5,"PC1",49.7814718056358
"2",5,"PC2",61.344234649472
"2",6,"PC1",60.4321780261396
"2",6,"PC2",78.5994211973767
"2",7,"PC1",70.4359688243857
"2",7,"PC2",95.1491425247156
"2",8,"PC1",82.4862149489771
"2",8,"PC2",112.376334626685
"2",9,"PC1",93.6189358759961
"2",9,"PC2",129.647934265466
"2",10,"PC1",105.929539116815
"2",10,"PC2",148.453202679883
"2",11,"PC1",117.424096014032
"2",11,"PC2",165.551605771235
"2",12,"PC1",130.166638117304
"2",12,"PC2",184.540434730731
"2",13,"PC1",141.769742851926
"2",13,"PC2",205.202154413477
"2",14,"PC1",153.772831958023
"2",14,"PC2",223.214101330532
"2",15,"PC1",165.405105574265
"2",15,"PC2",242.360174692936
"2",16,"PC1",176.685437686235
"2",16,"PC2",262.63028071938
"2",17,"PC1",188.033498447305
"2",17,"PC2",281.405110019249
"2",18,"PC1",200.503428114207
"2",18,"PC2",301.418332156618
"2",19,"PC1",212.315127794774
"2",19,"PC2",322.169658986106
"2",20,"PC1",224.412905259752
"2",20,"PC2",344.236351137126
"3",0,"PC1",0
"3",0,"PC2",0
"3",1,"PC1",3.94434748226739
"3",1,"PC2",8.10869316379515
"3",2,"PC1",9.30928380347165
"3",2,"PC2",16.2516039771784
"3",3,"PC1",11.5495334004947
"3",3,"PC2",27.5013315379707
"3",4,"PC1",15.2730341572741
"3",4,"PC2",36.868380321973
"3",5,"PC1",18.9567976308982
"3",5,"PC2",46.4812549376125
"3",6,"PC1",22.0689537548065
"3",6,"PC2",54.7635995674305
"3",7,"PC1",26.2324883065623
"3",7,"PC2",66.61926162017
"3",8,"PC1",30.2852429679254
"3",8,"PC2",79.1489111538192
"3",9,"PC1",34.6102826216243
"3",9,"PC2",93.7367488641066
"3",10,"PC1",37.6755483176437
"3",10,"PC2",105.755094878593
"3",11,"PC1",40.652110164442
"3",11,"PC2",120.01344387456
"3",12,"PC1",46.0602923013183
"3",12,"PC2",130.075513095633
"3",13,"PC1",50.2819433847243
"3",13,"PC2",142.85360974271
"3",14,"PC1",53.4556076641418
"3",14,"PC2",158.074953517546
"3",15,"PC1",57.6120445353205
"3",15,"PC2",170.238363886171
"3",16,"PC1",63.0624162290555
"3",16,"PC2",181.663533013661
"3",17,"PC1",68.2504485223354
"3",17,"PC2",198.430471277117
"3",18,"PC1",72.5334955129929
"3",18,"PC2",215.037544450504
"3",19,"PC1",75.7654016688935
"3",19,"PC2",228.022080773417
"3",20,"PC1",79.1972440735548
"3",20,"PC2",245.623456746936
"4",0,"PC1",0
"4",0,"PC2",0
"4",1,"PC1",10.4129589145187
"4",1,"PC2",13.6993778985109
"4",2,"PC1",23.9471290837311
"4",2,"PC2",34.3258930781016
"4",3,"PC1",37.745512314293
"4",3,"PC2",56.2931014614931
"4",4,"PC1",47.4501042692117
"4",4,"PC2",80.6160381465823
"4",5,"PC1",62.4673836995283
"4",5,"PC2",105.367999366753
"4",6,"PC1",75.1370768325398
"4",6,"PC2",131.148435490156
"4",7,"PC1",89.6288906139121
"4",7,"PC2",158.764699375649
"4",8,"PC1",104.062908232158
"4",8,"PC2",184.083138744014
"4",9,"PC1",121.376062649725
"4",9,"PC2",207.982557441521
"4",10,"PC1",135.389546984391
"4",10,"PC2",234.754707517964
"4",11,"PC1",147.497223202995
"4",11,"PC2",259.32736210807
"4",12,"PC1",160.144640959361
"4",12,"PC2",291.554802400187
"4",13,"PC1",176.750779335876
"4",13,"PC2",322.153023471998
"4",14,"PC1",192.210061817311
"4",14,"PC2",348.835338998877
"4",15,"PC1",205.21261033217
"4",15,"PC2",379.860730955257
"4",16,"PC1",219.230727654572
"4",16,"PC2",411.256858447284
"4",17,"PC1",230.547676059426
"4",17,"PC2",438.005891600011
"4",18,"PC1",245.111287068871
"4",18,"PC2",466.567218397663
"4",19,"PC1",261.170199054637
"4",19,"PC2",497.832588752368
"4",20,"PC1",273.311457231053
"4",20,"PC2",526.036422301796
"5",0,"PC1",0
"5",0,"PC2",0
"5",1,"PC1",8.36581872056093
"5",1,"PC2",7.84684709959477
"5",2,"PC1",17.6645354591223
"5",2,"PC2",17.4695891746234
"5",3,"PC1",27.9255314993592
"5",3,"PC2",29.2674516023979
"5",4,"PC1",37.5606140442853
"5",4,"PC2",40.7205495536901
"5",5,"PC1",47.2820937984597
"5",5,"PC2",51.6454514566178
"5",6,"PC1",58.5587903862592
"5",6,"PC2",63.9183071776838
"5",7,"PC1",69.1928605331211
"5",7,"PC2",76.479799854823
"5",8,"PC1",80.7850560510726
"5",8,"PC2",90.8194491325019
"5",9,"PC1",92.5891551872445
"5",9,"PC2",104.972806048535
"5",10,"PC1",104.545210339373
"5",10,"PC2",120.479006178023
"5",11,"PC1",116.178978297756
"5",11,"PC2",134.890871230928
"5",12,"PC1",127.495520107467
"5",12,"PC2",150.777698788317
"5",13,"PC1",139.431281649633
"5",13,"PC2",164.837310866314
"5",14,"PC1",150.361010657023
"5",14,"PC2",179.468489786882
