"","5%","50%","95%","5%","50%","95%","5%","50%","95%","5%","50%","95%"
"eta1",8.547,9.076,9.615,6.509,6.9,7.307,8.716,9.385,9.738,6.57,6.976,7.398
"eta2",14.219,14.992,15.865,7.825,8.33,9.065,14.765,15.544,16.027,7.961,8.447,8.901
"delta1",0.924,1.073,1.246,0.348,0.405,0.489,0.974,1.032,1.066,0.541,0.569,0.598
"delta2",2.469,2.892,3.387,0.526,0.61,0.741,2.722,2.792,2.845,0.796,0.836,0.874
"sigma1",1.371,1.763,2.28,0.694,0.905,1.217,1.512,1.875,2.177,1.01,1.311,1.581
"sigma2",2.028,2.564,3.26,0.868,1.142,1.508,2.013,2.388,3.048,1.233,1.576,1.855
"rho1",0.456,0.658,0.821,0.401,0.644,0.79,0.553,0.614,0.809,0.445,0.635,0.782
"v",1.592,1.765,1.988,1.905,2.648,4.154,100,100,100,100,100,100
"gamma1",NA,NA,NA,1.087,1.098,1.111,NA,NA,NA,1.09,1.098,1.106
"gamma2",NA,NA,NA,1.182,1.201,1.218,NA,NA,NA,1.19,1.201,1.209
