"Unit","Time","PC","Value"
"1",0,"PC1",0
"1",0,"PC2",0
"1",0,"PC3",0
"1",1,"PC1",0.0499999999999999
"1",1,"PC2",0.03
"1",1,"PC3",0.02
"1",2,"PC1",0.1
"1",2,"PC2",0.07
"1",2,"PC3",0.0599999999999999
"1",3,"PC1",0.15
"1",3,"PC2",0.1
"1",3,"PC3",0.09
"1",4,"PC1",0.22
"1",4,"PC2",0.16
"1",4,"PC3",0.13
"1",5,"PC1",0.29
"1",5,"PC2",0.21
"1",5,"PC3",0.16
"1",6,"PC1",0.37
"1",6,"PC2",0.27
"1",6,"PC3",0.2
"1",7,"PC1",0.45
"1",7,"PC2",0.33
"1",7,"PC3",0.26
"1",8,"PC1",0.58
"1",8,"PC2",0.4
"1",8,"PC3",0.31
"1",9,"PC1",0.74
"1",9,"PC2",0.49
"1",9,"PC3",0.37
"2",0,"PC1",0
"2",0,"PC2",0
"2",0,"PC3",0
"2",1,"PC1",0.0399999999999999
"2",1,"PC2",0.02
"2",1,"PC3",0.02
"2",2,"PC1",0.08
"2",2,"PC2",0.07
"2",2,"PC3",0.0499999999999999
"2",3,"PC1",0.13
"2",3,"PC2",0.11
"2",3,"PC3",0.07
"2",4,"PC1",0.18
"2",4,"PC2",0.15
"2",4,"PC3",0.1
"2",5,"PC1",0.24
"2",5,"PC2",0.19
"2",5,"PC3",0.13
"2",6,"PC1",0.31
"2",6,"PC2",0.25
"2",6,"PC3",0.17
"2",7,"PC1",0.38
"2",7,"PC2",0.31
"2",7,"PC3",0.2
"2",8,"PC1",0.47
"2",8,"PC2",0.38
"2",8,"PC3",0.26
"2",9,"PC1",0.57
"2",9,"PC2",0.46
"2",9,"PC3",0.32
"3",0,"PC1",0
"3",0,"PC2",0
"3",0,"PC3",0
"3",1,"PC1",0.0399999999999999
"3",1,"PC2",0.02
"3",1,"PC3",0.03
"3",2,"PC1",0.08
"3",2,"PC2",0.0599999999999999
"3",2,"PC3",0.0599999999999999
"3",3,"PC1",0.13
"3",3,"PC2",0.1
"3",3,"PC3",0.07
"3",4,"PC1",0.18
"3",4,"PC2",0.14
"3",4,"PC3",0.1
"3",5,"PC1",0.23
"3",5,"PC2",0.18
"3",5,"PC3",0.15
"3",6,"PC1",0.29
"3",6,"PC2",0.23
"3",6,"PC3",0.18
"3",7,"PC1",0.36
"3",7,"PC2",0.29
"3",7,"PC3",0.21
"3",8,"PC1",0.45
"3",8,"PC2",0.36
"3",8,"PC3",0.26
"3",9,"PC1",0.56
"3",9,"PC2",0.44
"3",9,"PC3",0.3
"4",0,"PC1",0
"4",0,"PC2",0
"4",0,"PC3",0
"4",1,"PC1",0.0399999999999999
"4",1,"PC2",0.03
"4",1,"PC3",0.02
"4",2,"PC1",0.08
"4",2,"PC2",0.0599999999999999
"4",2,"PC3",0.0399999999999999
"4",3,"PC1",0.13
"4",3,"PC2",0.1
"4",3,"PC3",0.07
"4",4,"PC1",0.17
"4",4,"PC2",0.14
"4",4,"PC3",0.11
"4",5,"PC1",0.22
"4",5,"PC2",0.18
"4",5,"PC3",0.14
"4",6,"PC1",0.29
"4",6,"PC2",0.23
"4",6,"PC3",0.17
"4",7,"PC1",0.35
"4",7,"PC2",0.28
"4",7,"PC3",0.19
"4",8,"PC1",0.44
"4",8,"PC2",0.34
"4",8,"PC3",0.24
"4",9,"PC1",0.53
"4",9,"PC2",0.41
"4",9,"PC3",0.29
"5",0,"PC1",0
"5",0,"PC2",0
"5",0,"PC3",0
"5",1,"PC1",0.0399999999999999
"5",1,"PC2",0.02
"5",1,"PC3",0.02
"5",2,"PC1",0.08
"5",2,"PC2",0.07
"5",2,"PC3",0.0399999999999999
"5",3,"PC1",0.13
"5",3,"PC2",0.09
"5",3,"PC3",0.07
"5",4,"PC1",0.17
"5",4,"PC2",0.13
"5",4,"PC3",0.09
"5",5,"PC1",0.22
"5",5,"PC2",0.16
"5",5,"PC3",0.12
"5",6,"PC1",0.28
"5",6,"PC2",0.2
"5",6,"PC3",0.15
"5",7,"PC1",0.33
"5",7,"PC2",0.24
"5",7,"PC3",0.18
"5",8,"PC1",0.43
"5",8,"PC2",0.3
"5",8,"PC3",0.22
"5",9,"PC1",0.51
"5",9,"PC2",0.36
"5",9,"PC3",0.26
"6",0,"PC1",0
"6",0,"PC2",0
"6",0,"PC3",0
"6",1,"PC1",0.0399999999999999
"6",1,"PC2",0.03
"6",1,"PC3",0.02
"6",2,"PC1",0.08
"6",2,"PC2",0.0599999999999999
"6",2,"PC3",0.0399999999999999
"6",3,"PC1",0.12
"6",3,"PC2",0.1
"6",3,"PC3",0.07
"6",4,"PC1",0.17
"6",4,"PC2",0.13
"6",4,"PC3",0.09
"6",5,"PC1",0.21
"6",5,"PC2",0.17
"6",5,"PC3",0.12
"6",6,"PC1",0.27
"6",6,"PC2",0.22
"6",6,"PC3",0.14
"6",7,"PC1",0.33
"6",7,"PC2",0.26
"6",7,"PC3",0.17
"6",8,"PC1",0.42
"6",8,"PC2",0.3
"6",8,"PC3",0.21
"6",9,"PC1",0.51
"6",9,"PC2",0.36
"6",9,"PC3",0.24
