"","5%","50%","95%","5%","50%","95%","5%","50%","95%","5%","50%","95%"
"eta1",8.849,9.086,9.482,6.581,6.899,7.357,8.983,9.337,9.901,6.472,7.035,7.567
"eta2",14.378,15.378,15.88,8.034,8.533,9.112,14.662,15.138,16.179,8.176,8.526,8.871
"delta1",0.992,1.048,1.177,0.377,0.397,0.476,1.095,1.139,1.196,0.564,0.578,0.591
"delta2",2.703,2.892,3.086,0.528,0.606,0.808,2.872,2.944,3.04,0.79,0.832,0.892
"sigma1",1.646,1.789,2.126,0.823,0.927,1.14,1.534,1.797,2.166,1.286,1.441,1.804
"sigma2",2.192,2.589,3.165,0.818,1.052,1.539,2.433,2.84,3.84,1.367,1.54,1.87
"rho1",0.519,0.664,0.686,0.363,0.604,0.731,0.503,0.64,0.793,0.532,0.694,0.843
"v",11.135,16.716,29.678,1.907,2.527,4.437,100,100,100,100,100,100
"gamma1",NA,NA,NA,1.09,1.097,1.107,NA,NA,NA,1.091,1.096,1.102
"gamma2",NA,NA,NA,1.172,1.201,1.207,NA,NA,NA,1.189,1.203,1.209
